time,gender,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,depressed,what_help_from_others,employment,job_title,edu_level,improve_yourself_how,attempt_suicide
5/19/2016 1:27:00,Male,Straight,20,"$1 to $10,000",Hispanic (of any race),Overweight,Yes,No,Yes but I haven't,4,Yes,Yes,I don't want help,A student,Retail ,"Some college, no degree",Other exercise,Yes
5/19/2016 3:32:05,Male,Straight,18,$0 ,White non-Hispanic,Normal weight,Yes,No,No,3,No,Yes,I don't want help,Out of work and looking for work,Unemployed,"Some college, no degree","Other exercise, join clubs/socual clubs/meet ups",Yes
5/19/2016 4:55:27,Male,Straight,25,$0 ,White non-Hispanic,Normal weight,No,Yes,Yes and I have,0,No,Yes,I don't want help,A student,college,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise",No
5/19/2016 5:07:20,Male,Straight,24,$0 ,White non-Hispanic,Normal weight,No,Yes,Yes and I have,0,Yes,Yes,Set me up with a date,Out of work and looking for work,,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups",No
5/19/2016 6:20:12,Female,Bisexual,20,$0 ,White non-Hispanic,Obese,Yes,No,No,1,Yes,Yes,just more friends/greater social life in general tbh,A student,undergraduate,"High school graduate, diploma or the equivalent (for example: GED)",Therapy,No
5/19/2016 6:59:37,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,Yes,No,5,No,No,Set me up with a date,Out of work and looking for work,Student,Trade/technical/vocational training,"Cosmetic survey, Joined a gym/go to the gym, Other exercise",No
5/19/2016 7:50:46,Male,Gay/Lesbian,21,"$10,000 to $19,999",White non-Hispanic,Normal weight,No,No,No,3,Yes,Yes,I don't want help,Employed for wages,Sales clerk,"Some college, no degree","Therapy, Other exercise",No
5/19/2016 8:46:30,Male,Straight,39,"$10,000 to $19,999",White non-Hispanic,Normal weight,Yes,Yes,No,5,Yes,No,I don't want help,Employed for wages,Admin assistant,"High school graduate, diploma or the equivalent (for example: GED)",Therapy,No
5/19/2016 9:03:32,Male,Straight,20,"$20,000 to $29,999",White non-Hispanic,Overweight,Yes,Yes,Yes and I have,1,Yes,Yes,I don't want help,Employed for wages,Shit kicker,"Some high school, no diploma",Joined a gym/go to the gym,No
5/19/2016 9:39:41,Female,Straight,23,"$40,000 to $49,999",Asian,Normal weight,No,No,No,5,Yes,Yes,I don't want help,Out of work and looking for work,Accountant,Bachelors degree,Joined a gym/go to the gym,Yes
5/19/2016 15:17:48,Male,Straight,30,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,No,0,No,Yes,I don't want help,Employed for wages,postman,"High school graduate, diploma or the equivalent (for example: GED)",None,Yes
5/19/2016 15:29:02,Male,Straight,25,"$20,000 to $29,999",Asian,Overweight,Yes,Yes,No,7,No,No,Set me up with a date,Employed for wages,stocker,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise,No
5/19/2016 16:31:02,Male,Straight,18,$0 ,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,No,I don't want help,Out of work but not currently looking for work,out of work,"High school graduate, diploma or the equivalent (for example: GED)",None,No
5/19/2016 17:21:19,Male,Straight,19,$0 ,White non-Hispanic,Overweight,Yes,No,No,4,No,No,"wingman/wingwoman, Set me up with a date, date coaching",A student,Student,"Some college, no degree",None,No
5/19/2016 17:24:06,Male,Straight,18,$0 ,White non-Hispanic,Normal weight,Yes,No,No,20,Yes,No,I don't want help,A student,Student ,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups",No
5/19/2016 18:41:27,Male,Straight,23,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,No,7,Yes,Yes,I don't want help,Out of work but not currently looking for work,Developer,Bachelors degree,None,No
5/19/2016 19:11:55,Male,Straight,28,"$10,000 to $19,999",White non-Hispanic,Obese,Yes,No,No,4,Yes,Yes,Set me up with a date,Employed for wages,Stocker,"Some college, no degree",None,Yes
5/19/2016 19:36:15,Male,Straight,18,"$10,000 to $19,999",White non-Hispanic,Normal weight,Yes,No,No,6,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,Waiter,"Some high school, no diploma",Other exercise,No
5/19/2016 19:38:25,Male,Straight,21,$0 ,North African,Normal weight,Yes,No,No,0,Yes,Yes,Teach me how to talk to people,A student,Finance student,Masters degree,"Other exercise, join clubs/socual clubs/meet ups",No
5/19/2016 20:03:19,Female,Bisexual,30,"$50,000 to $74,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,2,No,Yes,"I don't want help, More general stuff",Employed for wages,Not telling,Bachelors degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups, Fashion makeup personality etc",Yes
5/19/2016 22:48:05,Male,Straight,21,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,2,No,No,I don't want help,Out of work and looking for work,tutor,Associate degree,Joined a gym/go to the gym,No
5/20/2016 0:02:59,Male,Bisexual,21,$0 ,Asian,Normal weight,Yes,Yes,No,3,No,Yes,I don't want help,Out of work and looking for work,Unemployed,"Some college, no degree",Other exercise,No
5/20/2016 3:06:30,Male,Straight,14,$0 ,Half Asian half white,Normal weight,Yes,No,Yes but I haven't,1,Yes,Yes,I don't want help,A student,,"Some high school, no diploma","Joined a gym/go to the gym, join clubs/socual clubs/meet ups",No
5/20/2016 10:38:33,Male,Straight,22,$0 ,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1,Yes,Yes,date coaching,Out of work but not currently looking for work,,Trade/technical/vocational training,"Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups",No
5/20/2016 13:20:21,Male,Straight,33,"$40,000 to $49,999",White non-Hispanic,Overweight,No,No,Yes but I haven't,1,Yes,Yes,Set me up with a date,Employed for wages,Consultant,"Some college, no degree",Losing weight through better diet. No exercise yet. ,No
5/20/2016 14:14:30,Male,Straight,24,"$50,000 to $74,999",Asian,Normal weight,Yes,Yes,No,13,Yes,Yes,"wingman/wingwoman, date coaching",Employed for wages,analyst,Bachelors degree,Other exercise,No
5/20/2016 19:04:39,Male,Straight,17,$0 ,White non-Hispanic,Normal weight,Yes,No,No,5,Yes,No,"Set me up with a date, date coaching",A student,Student ,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, join clubs/socual clubs/meet ups",No
5/21/2016 1:09:01,Male,Bisexual,28,"$20,000 to $29,999",White non-Hispanic,Obese,Yes,No,Yes but I haven't,0,Yes,Yes,I don't want help,Employed for wages,Carer,"High school graduate, diploma or the equivalent (for example: GED)",None,No
5/21/2016 4:55:48,Male,Straight,18,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,0,Yes,Yes,Set me up with a date,A student,I'm a student ,"Some high school, no diploma",Changed my hairstyle and lost weight ,No
5/21/2016 5:39:46,Male,Straight,18,$0 ,White non-Hispanic,Normal weight,Yes,No,No,1,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching",A student,none,"Some high school, no diploma","Cosmetic survey, Joined a gym/go to the gym, join clubs/socual clubs/meet ups",No
5/21/2016 6:11:46,Male,Straight,27,"$1 to $10,000",White non-Hispanic,Overweight,Yes,No,Yes but I haven't,2,Yes,Yes,I don't want help,Out of work but not currently looking for work,na,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise,No
5/21/2016 9:40:35,Male,Straight,18,$0 ,Asian,Underweight,Yes,No,No,7,No,Yes,"wingman/wingwoman, Set me up with a date",A student,student,"Some college, no degree",None,No
5/21/2016 15:29:09,Male,Straight,48,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,Yes but I haven't,0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Self-employed,real estate,Masters degree,"Joined a gym/go to the gym, Other exercise, go to bars",No
5/21/2016 18:00:49,Male,Straight,29,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,Yes,No,40,Yes,Yes,I don't want help,Employed for wages,Operations executive,Bachelors degree,Other exercise,No
5/22/2016 2:29:36,Male,Straight,20,"$1 to $10,000",Asian,Underweight,Yes,No,Yes but I haven't,2,No,No,"Set me up with a date, date coaching",A student,Student,Bachelors degree,join clubs/socual clubs/meet ups,No
5/22/2016 12:38:59,Male,Straight,20,"$10,000 to $19,999",White non-Hispanic,Underweight,Yes,Yes,Yes but I haven't,0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",A student,law (enforcement) officer,"High school graduate, diploma or the equivalent (for example: GED)",None,No
5/22/2016 12:43:15,Male,Straight,20,$0 ,White non-Hispanic,Underweight,Yes,Yes,Yes but I haven't,0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Out of work and looking for work,Nothing,"Some college, no degree",None,No
5/22/2016 12:43:20,Male,Straight,20,$0 ,White non-Hispanic,Underweight,Yes,Yes,Yes but I haven't,0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Out of work and looking for work,Nothing,"Some college, no degree",None,No
5/22/2016 12:44:48,Male,Straight,18,$0 ,White non-Hispanic,Overweight,Yes,No,No,30,No,No,I don't want help,A student,nothing,"Some high school, no diploma",None,No
5/22/2016 12:45:39,Male,Straight,19,$0 ,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1,Yes,No,I don't want help,A student,none,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, Other exercise",No
5/22/2016 13:11:35,Female,Straight,25,"$10,000 to $19,999",White non-Hispanic,Normal weight,No,No,No,8,No,No,I don't want help,Employed for wages,Cashier,"Some college, no degree",Joined a gym/go to the gym,No
5/22/2016 13:39:57,Male,Straight,25,"$50,000 to $74,999",Mixed,Normal weight,No,No,No,12,No,No,I don't want help,Employed for wages,Consultant,Masters degree,Other exercise,No
5/22/2016 13:55:14,Male,Bisexual,21,$0 ,White non-Hispanic,Underweight,Yes,No,No,0,No,Yes,I don't know,A student,no job,"Some college, no degree","work out at home, eat more",Yes
5/22/2016 14:01:36,Male,Straight,20,"$1 to $10,000",White non-Hispanic,Overweight,Yes,No,No,6,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",A student,Student employee,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups",No
5/22/2016 14:04:52,Female,Straight,23,"$20,000 to $29,999",Black,Overweight,No,No,No,15,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,Usher ,"Some college, no degree",None,Yes
5/22/2016 14:12:23,Male,Straight,24,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1,No,No,"wingman/wingwoman, Set me up with a date",Employed for wages,Part time paperboy,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups",No
5/22/2016 14:16:06,Male,Straight,42,"$200,000 or more",White non-Hispanic,Overweight,Yes,No,No,0,No,No,I don't want help,Employed for wages,Principal Software Engineer,"Some college, no degree",Non-physical forms of improvement,No
5/22/2016 14:22:12,Male,Straight,32,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,No,5,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching",Out of work and looking for work,j,"High school graduate, diploma or the equivalent (for example: GED)",join clubs/socual clubs/meet ups,No
5/22/2016 15:00:49,Male,Straight,21,"$10,000 to $19,999",White non-Hispanic,Overweight,No,No,No,2,Yes,Yes,I don't want help,A student,business representative (have in mind that I am from Poland),"Some college, no degree","Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise",No
5/22/2016 15:04:05,Male,Straight,21,"$1 to $10,000",Black,Normal weight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date",A student,student,"Some high school, no diploma",Therapy,No
5/22/2016 15:12:32,Female,Bisexual,21,$0 ,Hispanic (of any race),Normal weight,Yes,No,No,3,Yes,Yes,I don't want help,A student,None,Bachelors degree,Therapy,No
5/22/2016 15:15:11,Male,Straight,16,$0 ,Hispanic (of any race),Normal weight,Yes,No,Yes but I haven't,0,Yes,Yes,I don't want help,Out of work but not currently looking for work,no,"Some high school, no diploma","Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise",No
5/22/2016 15:18:26,Male,Straight,38,"$125,000 to $149,999",White non-Hispanic,Underweight,Yes,No,No,0,Yes,Yes,I used to want all of those things. Now it is too late for any of them to make a difference.,Employed for wages,Software Engineer,Bachelors degree,"Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups",Yes
5/22/2016 15:32:28,Female,Gay/Lesbian,20,$0 ,White non-Hispanic,Normal weight,No,Yes,No,2,No,No,I don't want help,A student,Student (comp sci),Bachelors degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups",Yes
5/22/2016 15:54:14,Male,Straight,24,"$10,000 to $19,999",White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,5,Yes,No,I don't want help,Employed for wages,production engineer,Masters degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/22/2016 16:05:06,Male,Straight,22,$0 ,White non-Hispanic,Overweight,No,Yes,Yes and I have,2,No,No,I don't want help,A student,none,"Some college, no degree",None,No
5/22/2016 16:14:04,Male,Straight,18,$0 ,White non-Hispanic,Normal weight,Yes,Yes,No,5,Yes,Yes,wingman/wingwoman,A student,student,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise,No
5/22/2016 16:36:17,Male,Straight,18,$0 ,White non-Hispanic,Underweight,Yes,No,No,12,Yes,Yes,I don't want help,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",None,No
5/22/2016 16:44:22,Male,Straight,23,"$40,000 to $49,999",Asian,Normal weight,Yes,No,Yes but I haven't,4,No,No,"wingman/wingwoman, Set me up with a date, invite me to shit please",Employed for wages,Audit associate,Professional degree,"Therapy, join clubs/socual clubs/meet ups",No
5/22/2016 17:04:12,Male,Straight,23,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,2,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Military,2nd lieutenant,Masters degree,"Joined a gym/go to the gym, Therapy",No
5/22/2016 17:10:01,Male,Straight,21,"$20,000 to $29,999",Asian,Normal weight,Yes,No,No,9,No,Yes,"wingman/wingwoman, Set me up with a date",Employed for wages,Not Disclosing This,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/22/2016 17:44:58,Male,Bisexual,24,$0 ,White and Native American,Obese,Yes,No,Yes but I haven't,3,Yes,Yes,"wingman/wingwoman, Set me up with a date",Out of work but not currently looking for work,None,"Some high school, no diploma","Other exercise, None",Yes
5/22/2016 19:01:53,Male,Straight,22,$0 ,White non-Hispanic,Underweight,Yes,No,No,0,Yes,Yes,I don't want help,Out of work but not currently looking for work,n/a,"Some college, no degree",None,No
5/22/2016 19:04:07,Female,Straight,17,"$1 to $10,000",White non-Hispanic,Overweight,Yes,Yes,No,10,No,Yes,I don't want help,A student,Waitress,"Some high school, no diploma","Other exercise, Losing weight",No
5/22/2016 19:51:39,Male,Bisexual,34,"$100,000 to $124,999",White non-Hispanic,Obese,No,No,Yes but I haven't,2,Yes,Yes,I don't want help,Employed for wages,Software Developer,"Some college, no degree","Joined a gym/go to the gym, Therapy",No
5/22/2016 20:00:12,Male,Bisexual,26,"$1 to $10,000","First two answers. Gender is androgyne, not male; sexuality is asexual, not bi.",Normal weight,No,No,No,0,Yes,Yes,I don't want help,Self-employed,artist,Bachelors degree,"Other exercise, learn new skills",Yes
5/22/2016 22:21:42,Male,Straight,27,"$50,000 to $74,999",White non-Hispanic,Obese,Yes,No,No,1,Yes,Yes,I don't want help,A student,Auditor,Masters degree,Other exercise,No
5/22/2016 22:24:26,Male,Straight,19,$0 ,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,3,Yes,Yes,I don't want help,Out of work but not currently looking for work,Unemployed,"Some high school, no diploma",None,No
5/23/2016 3:16:33,Male,Straight,15,$0 ,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,1,Yes,Yes,I don't want help,Out of work but not currently looking for work,Why is this obligatory?,"Some high school, no diploma",None,No
5/23/2016 3:27:01,Male,Straight,31,"$1 to $10,000",White non-Hispanic,Normal weight,No,No,No,0,No,Yes,I don't want help,Self-employed,Software developer,"Some college, no degree",Other exercise,No
5/23/2016 3:34:05,Male,Straight,17,"$1 to $10,000",White non-Hispanic,Overweight,Yes,No,No,3,Yes,Yes,I don't want help,A student,High School Senior,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, join clubs/socual clubs/meet ups",Yes
5/23/2016 4:12:06,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,0,Yes,Yes,wingman/wingwoman,A student,Student / parttime web developer,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise",No
5/23/2016 5:50:18,Female,Straight,21,$0 ,Asian,Underweight,No,No,No,1,Yes,No,I don't want help,A homemaker,None,"Some college, no degree",None,No
5/23/2016 5:50:29,Female,Bisexual,19,$0 ,White non-Hispanic,Normal weight,Yes,No,No,1,Yes,Yes,I don't want help,Out of work but not currently looking for work,none,"Some high school, no diploma",Therapy,Yes
5/23/2016 8:14:53,Male,Bisexual,26,$0 ,European,Underweight,Yes,Yes,No,0,Yes,Yes,I don't want help,Unable to work,Disabled,"Some high school, no diploma","Therapy, Other exercise, None",Yes
5/23/2016 8:38:27,Male,Straight,24,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,Yes but I haven't,4,Yes,Yes,I have no idea,Employed for wages,Admin,"Some college, no degree",None,No
5/23/2016 13:13:39,Male,Straight,18,$0 ,White non-Hispanic,Underweight,Yes,Yes,No,0,Yes,No,I don't want help,A student,Student,"Some high school, no diploma",Therapy,No
5/23/2016 13:29:58,Transgender female,Straight,25,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,5,Yes,Yes,I don't want help,Out of work and looking for work,Unemployed,"Some college, no degree","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups",Yes
5/23/2016 13:50:30,Male,Straight,23,"$10,000 to $19,999",White non-Hispanic,Underweight,Yes,Yes,Yes but I haven't,0,Yes,Yes,I don't want help,A student,none,"Some college, no degree",Joined a gym/go to the gym,No
5/23/2016 15:13:05,Male,Straight,25,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,No,20,No,No,I don't want help,Employed for wages,Freight Broker,Associate degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/23/2016 15:46:30,Male,Bisexual,33,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,No,25,No,No,"wingman/wingwoman, Set me up with a date",Employed for wages,Coordinator,"Some college, no degree","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/23/2016 18:02:09,Female,Straight,21,"$1 to $10,000",White non-Hispanic,Normal weight,No,No,No,4,Yes,Yes,I don't want help,A student,Research assistant,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise",No
5/23/2016 21:21:36,Female,Straight,30,"$10,000 to $19,999",White non-Hispanic,Normal weight,No,No,No,12,No,Yes,Set me up with a date,Self-employed,freelance technical theatre,"Some college, no degree","Joined a gym/go to the gym, Therapy",No
5/24/2016 3:43:19,Male,Straight,22,"$10,000 to $19,999",Black,Overweight,Yes,No,Yes but I haven't,2,Yes,Yes,I don't want help,Employed for wages,Retail Associate,Associate degree,"Therapy, Other exercise",Yes
5/24/2016 8:48:42,Male,Straight,24,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,0,No,Yes,I don't want help,Employed for wages,it,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups",No
5/24/2016 11:23:07,Male,Straight,18,$0 ,White non-Hispanic,Normal weight,Yes,No,No,1,No,No,"wingman/wingwoman, Set me up with a date",A student,Student ,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise,No
5/24/2016 11:53:26,Female,Bisexual,37,"$40,000 to $49,999",Hispanic (of any race),Obese,No,No,No,400,No,No,I don't want help,Employed for wages,Administrative Assistant,"Some college, no degree","Cosmetic surgery, Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/24/2016 12:38:04,Male,Straight,26,"$20,000 to $29,999",Hispanic (of any race),Normal weight,Yes,Yes,No,1,Yes,Yes,I don't want help,Employed for wages,Technician ,Associate degree,None,No
5/24/2016 19:02:34,Male,Straight,21,"$10,000 to $19,999",White non-Hispanic,Overweight,No,No,No,3,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,Transport,"High school graduate, diploma or the equivalent (for example: GED)",None,No
